2025-07-30 21:14:23.363669 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:23.390348 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:23.426195 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:23.447354 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:23.487696 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:23.512255 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:23.547459 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:23.605036 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:23.644542 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:23.676254 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:23.697018 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:23.739588 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:23.767643 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:23.795452 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:23.820564 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:23.858026 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:23.902495 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:23.938842 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:23.967669 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:24.002648 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:24.028307 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:24.060051 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:24.094254 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:24.125809 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:24.150763 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:24.182605 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:24.210651 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:24.253967 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:24.275129 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:24.310870 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:24.349005 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:24.405400 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:24.438474 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:24.461059 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:24.493238 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:24.526286 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:24.769894 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:24.807219 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:24.849193 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:24.891115 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:24.919424 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:24.950962 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:24.981351 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:25.013238 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:25.043433 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:25.079857 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:25.109244 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:25.133985 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:25.164767 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:25.196432 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:25.267408 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:25.313499 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:25.339464 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:25.364015 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:25.396336 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:25.428937 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:25.465241 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:25.492427 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:25.532450 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:25.555460 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:25.588661 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:25.623641 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:25.669275 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:25.703630 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:25.729012 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:25.757483 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:25.796579 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:25.819661 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:25.857891 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:25.883608 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:25.917174 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:25.968716 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:25.989045 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:26.022519 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:26.063488 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:26.090818 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:26.113370 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:26.172349 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:26.206840 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:26.237936 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:26.265429 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:26.307789 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:26.335574 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:26.376157 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:26.398167 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:26.423566 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:26.460305 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:26.488390 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:26.513224 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:26.549148 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:26.580645 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:26.624578 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:26.660721 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:26.690892 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:26.717203 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:26.762429 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:26.782984 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:26.822265 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:26.848848 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:26.869637 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:26.926082 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:26.962184 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:26.986923 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:27.022595 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:27.049535 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:27.085122 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:27.114903 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:27.166308 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:27.218578 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:27.254866 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:27.284209 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:27.313671 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:27.345105 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:27.368155 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:27.397259 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:27.423804 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:27.460675 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:27.484920 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:27.529041 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:27.574268 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:27.613538 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:27.646061 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:27.671890 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:27.708302 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:27.736638 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:27.765675 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:27.794367 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:27.828858 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:27.864374 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:27.890148 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:27.930700 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:27.946236 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:27.973548 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:28.027228 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:28.055968 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:28.091426 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:28.119959 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:28.165320 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:28.203752 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:28.238002 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:28.263735 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:28.294202 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:28.335584 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:28.379569 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:28.415570 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:28.445478 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:28.466576 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:28.489694 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:28.520930 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:28.556141 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:28.584577 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:28.614727 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:28.633776 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:28.680029 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:28.727292 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:28.753027 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:28.783148 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:28.839560 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:28.865485 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:28.896864 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:28.931005 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:28.958091 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:28.990248 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:29.023983 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:29.047964 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:29.083330 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:29.137935 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:29.160792 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:29.196316 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:29.232490 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:29.272451 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:29.303990 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:29.334850 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:29.367074 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:29.400105 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:29.430308 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:29.458566 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:29.487337 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:29.538033 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:29.578142 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:29.612430 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:29.646710 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:29.670682 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:29.708307 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:29.734063 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:29.767543 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:29.798837 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:29.823613 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:29.863268 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:29.897245 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:29.939811 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:29.960842 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:30.006334 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:30.035899 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:30.064494 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:30.106389 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:30.143778 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:30.171072 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:30.200871 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:30.236233 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:30.263217 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:30.309681 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:30.348644 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:30.375852 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:30.407761 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:30.441647 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:30.460893 - Detected: i, Frame: data\dishant.jpg
